participantId,langAbv,lang,trialNum,termNum,colorNum,name,displayName,match,colorSpace,r,g,b,rgbSet,studyVersion,instructionsLocale,browserLocale,background
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,0,3,azulcielo,azul cielo,no,rgb,42,20,82,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,0,4,azulcielo,azul cielo,no,rgb,80,243,213,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,0,5,azulcielo,azul cielo,no,rgb,138,108,76,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,0,6,azulcielo,azul cielo,no,rgb,102,105,121,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,0,7,azulcielo,azul cielo,no,rgb,236,100,92,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,1,0,morado,morado,somewhat,rgb,120,122,200,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,1,1,morado,morado,yes,rgb,137,41,175,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,1,2,morado,morado,no,rgb,69,100,138,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,1,3,morado,morado,no,rgb,42,20,82,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,1,4,morado,morado,no,rgb,80,243,213,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,1,5,morado,morado,no,rgb,138,108,76,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,1,6,morado,morado,no,rgb,102,105,121,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,1,7,morado,morado,no,rgb,236,100,92,full,2.1.2,en,es,white
92bccdce-6d88-434b-8457-759e6ef58b14,es,Spanish (español),5,2,0,verde,verde,no,rgb,120,122,200,full,2.1.2,en,es,white
