lang,langAbv,num_bins_ring_0.2_h8,fraction_bins_ring_0.2_h8,num_bins_ring_0.1_h8,fraction_bins_ring_0.1_h8,num_bins_ring_0.05_h8,fraction_bins_ring_0.05_h8,num_bins_ring_0.025_h8,fraction_bins_ring_0.025_h8,num_bins_ring_0.2_0.05_h8,fraction_bins_ring_0.2_0.05_h8,num_bins_ring_0.1_0.025_h8,fraction_bins_ring_0.1_0.025_h8,num_bins_ring_0.067_0.017_h8,fraction_bins_ring_0.067_0.017_h8,num_bins_0.1,fraction_bins_0.1,num_bins_0.05,fraction_bins_0.05,num_bins_0.025,fraction_bins_0.025,num_bins_0.2_0.05,fraction_bins_0.2_0.05,num_bins_0.1_0.025,fraction_bins_0.1_0.025,num_bins_0.067_0.017,fraction_bins_0.067_0.017
German (Deutsch),de,41,0.9534883720930233,139,0.7595628415300546,555,0.589798087141339,192,0.032730992158199794,248,0.7701863354037267,554,0.31584948688711517,255,0.04966887417218543,117,0.8068965517241379,494,0.660427807486631,232,0.05030355594102342,210,0.8171206225680934,568,0.41010830324909747,307,0.07580246913580246
Greek (modern) (ελληνικά),el,4,0.09302325581395349,3,0.01639344262295082,7,0.007438894792773645,4,0.0006818956699624957,6,0.018633540372670808,6,0.0034207525655644243,6,0.001168679392286716,4,0.027586206896551724,3,0.004010695187165776,5,0.0010841283607979184,4,0.01556420233463035,5,0.0036101083032490976,3,0.0007407407407407407
Gujarati (ગુજરાતી),gu,10,0.23255813953488372,5,0.0273224043715847,1,0.0010626992561105207,0,0,2,0.006211180124223602,0,0,0,0,7,0.04827586206896552,0,0,0,0,1,0.0038910505836575876,0,0,0,0
"Hindi (हिन्दी, हिंदी)",hi,32,0.7441860465116279,113,0.6174863387978142,100,0.10626992561105207,17,0.002898056597340607,160,0.4968944099378882,50,0.028506271379703536,10,0.0019477989871445266,94,0.6482758620689655,129,0.17245989304812834,17,0.003686036426712923,144,0.5603112840466926,48,0.034657039711191336,15,0.003703703703703704
Indonesian (Bahasa Indonesia),id,7,0.16279069767441862,8,0.04371584699453552,7,0.007438894792773645,9,0.0015342652574156155,10,0.031055900621118012,8,0.004561003420752566,5,0.0009738994935722633,5,0.034482758620689655,10,0.013368983957219251,9,0.0019514310494362533,10,0.038910505836575876,10,0.007220216606498195,9,0.0022222222222222222
Italian (italiano),it,25,0.5813953488372093,71,0.3879781420765027,55,0.05844845908607864,89,0.01517217865666553,75,0.2329192546583851,77,0.04389965792474344,106,0.020646669263731984,66,0.45517241379310347,59,0.07887700534759358,86,0.0186470078057242,78,0.3035019455252918,76,0.054873646209386284,92,0.02271604938271605
Kannada (ಕನ್ನಡ),kn,13,0.3023255813953488,1,0.00546448087431694,0,0,0,0,1,0.003105590062111801,0,0,0,0,4,0.027586206896551724,0,0,0,0,2,0.007782101167315175,0,0,0,0
"Korean (한국어, 조선어)",ko,40,0.9302325581395349,151,0.825136612021858,735,0.7810839532412327,1039,0.17712240027275827,275,0.8540372670807453,1191,0.6790193842645382,1149,0.22380210362290612,126,0.8689655172413793,604,0.8074866310160428,1167,0.25303555941023415,229,0.8910505836575876,1054,0.7610108303249098,1251,0.3088888888888889
Malayalam (മലയാളം),ml,14,0.32558139534883723,14,0.07650273224043716,1,0.0010626992561105207,0,0,8,0.024844720496894408,0,0,0,0,15,0.10344827586206896,2,0.00267379679144385,0,0,11,0.042801556420233464,0,0,0,0
Marathi (Marāṭhī) (मराठी),mr,17,0.3953488372093023,33,0.18032786885245902,2,0.0021253985122210413,0,0,21,0.06521739130434782,0,0,0,0,36,0.2482758620689655,2,0.00267379679144385,0,0,27,0.10505836575875487,0,0,0,0
Persian (Farsi) (فارسی),fa,36,0.8372093023255814,130,0.7103825136612022,272,0.28905419766206164,118,0.020115922263893624,205,0.6366459627329193,241,0.13740022805017105,144,0.028048305414881184,107,0.7379310344827587,294,0.393048128342246,131,0.028404163052905464,184,0.7159533073929961,253,0.18267148014440432,155,0.03827160493827161
"Polish (język polski, polszczyzna)",pl,34,0.7906976744186046,117,0.639344262295082,107,0.11370882040382571,96,0.016365496079099897,146,0.453416149068323,105,0.05986316989737742,113,0.022010128554733152,98,0.6758620689655173,124,0.1657754010695187,88,0.019080659150043366,140,0.5447470817120622,102,0.0736462093862816,98,0.02419753086419753
Portuguese (português),pt,34,0.7906976744186046,126,0.6885245901639344,169,0.179596174282678,108,0.018411183088987385,191,0.593167701863354,136,0.07753705815279362,124,0.02415270744059213,102,0.7034482758620689,183,0.2446524064171123,104,0.022549869904596703,164,0.6381322957198443,131,0.09458483754512635,113,0.027901234567901233
Romanian (limba română),ro,20,0.46511627906976744,33,0.18032786885245902,36,0.03825717321997875,40,0.006818956699624957,35,0.10869565217391304,40,0.02280501710376283,38,0.007401636151149201,31,0.21379310344827587,35,0.04679144385026738,40,0.008673026886383347,35,0.13618677042801555,38,0.027436823104693142,44,0.010864197530864197
Russian (Русский),ru,36,0.8372093023255814,122,0.6666666666666666,220,0.23379383634431455,93,0.015854074326628026,202,0.6273291925465838,140,0.07981755986316989,110,0.021425788858589794,102,0.7034482758620689,232,0.31016042780748665,88,0.019080659150043366,177,0.688715953307393,161,0.11624548736462094,107,0.026419753086419754
"Slovak (slovenčina, slovenský jazyk)",sk,1,0.023255813953488372,1,0.00546448087431694,0,0,0,0,1,0.003105590062111801,0,0,0,0,2,0.013793103448275862,1,0.001336898395721925,1,0.0002168256721595837,1,0.0038910505836575876,0,0,0,0
Spanish (español),es,40,0.9302325581395349,140,0.7650273224043715,493,0.5239107332624867,182,0.031026252983293555,244,0.7577639751552795,437,0.2491448118586089,227,0.04421503700818075,114,0.7862068965517242,474,0.6336898395721925,193,0.04184735472679965,202,0.7859922178988327,502,0.3624548736462094,254,0.06271604938271605
Swedish (svenska),sv,34,0.7906976744186046,93,0.5081967213114754,79,0.08395324123273114,98,0.016706443914081145,104,0.32298136645962733,92,0.052451539338654506,112,0.0218153486560187,79,0.5448275862068965,75,0.10026737967914438,94,0.020381613183000868,103,0.40077821011673154,83,0.059927797833935016,103,0.0254320987654321
Tamil (தமிழ்),ta,16,0.37209302325581395,17,0.09289617486338798,2,0.0021253985122210413,0,0,6,0.018633540372670808,0,0,0,0,20,0.13793103448275862,1,0.001336898395721925,0,0,7,0.027237354085603113,1,0.0007220216606498195,0,0
Telugu (తెలుగు),te,9,0.20930232558139536,7,0.03825136612021858,0,0,0,0,3,0.009316770186335404,1,0.0005701254275940707,0,0,8,0.05517241379310345,0,0,0,0,3,0.011673151750972763,1,0.0007220216606498195,0,0
Turkish (Türkçe),tr,27,0.627906976744186,53,0.2896174863387978,47,0.04994686503719448,57,0.009717013296965565,58,0.18012422360248448,52,0.029646522234891677,65,0.012660693416439424,53,0.36551724137931035,44,0.058823529411764705,55,0.011925411968777104,55,0.2140077821011673,50,0.036101083032490974,66,0.016296296296296295
Urdu (اردو),ur,20,0.46511627906976744,26,0.14207650273224043,3,0.003188097768331562,0,0,14,0.043478260869565216,1,0.0005701254275940707,0,0,31,0.21379310344827587,4,0.0053475935828877,1,0.0002168256721595837,22,0.08560311284046693,4,0.002888086642599278,0,0
