lang,lang_abv,commonName,simplifiedName,numLineNames,avgHueRGBCode,numFullNames,avgFullColorRGBCode,avgFullL,avgFullA,avgFullB
English (English),en,grey,gray,5,"rgb(0, 255, 219)",2052,"rgb(144,150,149)",0.6666758062625059,-0.0066031274704398,-0.0007752578409024847
English (English),en,grey blue,grayblue,3,,275,"rgb(106,141,168)",0.6276640785395288,-0.027190843517868785,-0.04931488855534318
English (English),en,grey brown,graybrown,0,,46,"rgb(124,110,94)",0.5469678847019207,0.010219472743665895,0.028507265152193473
English (English),en,grey green,graygreen,0,,178,"rgb(132,160,132)",0.6767887657545081,-0.04228945349049642,0.028957765558351913
English (English),en,greyish blue,grayishblue,1,,63,"rgb(105,141,169)",0.6266639664604817,-0.02713514388066113,-0.05267515893994089
English (English),en,greyish brown,grayishbrown,0,,19,"rgb(144,126,111)",0.6063717247384319,0.014698181740497366,0.0275984533578947
English (English),en,grayish green,grayishgreen,0,,34,"rgb(128,153,123)",0.6540497571772353,-0.04034894384926221,0.0333164151424199
English (English),en,greyish purple,grayishpurple,0,,39,"rgb(123,105,141)",0.5515266687376675,0.03560372998769496,-0.04652050548531969
English (English),en,grey pink,graypink,0,,24,"rgb(183,141,154)",0.6855679486277052,0.053760374567796386,-0.0021404806004007315
English (English),en,grey purple,graypurple,0,,86,"rgb(142,122,152)",0.6074427125305608,0.035675114698978085,-0.03634107840463111
English (English),en,green,green,3063,"rgb(0, 255, 70)",11935,"rgb(91,194,86)",0.7290821862203295,-0.14000056547380854,0.10673021830781178
English (English),en,green apple,greenapple,8,"rgb(52, 255, 0)",14,"rgb(102,222,70)",0.8016461079329971,-0.16632124540822432,0.14064286673506896
English (English),en,green blue,greenblue,49,"rgb(0, 255, 181)",145,"rgb(52,187,150)",0.7120787689001853,-0.12503809963877935,0.02222651986587403
English (English),en,green brown,greenbrown,1,,74,"rgb(119,115,50)",0.5446373722742167,-0.023466814738355848,0.08310992126693079
English (English),en,green cyan,greencyan,7,"rgb(0, 255, 181)",2,,,,
English (English),en,green gold,greengold,0,,12,"rgb(162,163,60)",0.694778533724075,-0.04153969798867213,0.11707820055475744
English (English),en,green grey,greengray,0,,67,"rgb(123,147,125)",0.6372436911795548,-0.03572530777992038,0.023259879262745045
English (English),en,greenish,greenish,2,,18,"rgb(133,201,120)",0.7714436187212794,-0.10149526889316932,0.08370976849816096
English (English),en,greenish blue,greenishblue,10,"rgb(0, 255, 188)",31,"rgb(57,181,157)",0.7005754004000463,-0.1136643726002224,0.006180048222660685
English (English),en,greenish brown,greenishbrown,0,,46,"rgb(119,111,45)",0.5342758823176826,-0.01786575796993401,0.08505797663549276
English (English),en,greenish grey,greenishgray,0,,36,"rgb(135,155,131)",0.6662186268954466,-0.031022615453385208,0.02639723459556118
English (English),en,greenish yellow,greenishyellow,40,"rgb(206, 255, 0)",61,"rgb(201,233,65)",0.8825190146876487,-0.09408848162359218,0.16285899153758474
English (English),en,green turquoise,greenturquoise,7,"rgb(0, 255, 172)",7,,,,
English (English),en,greeny blue,greenyblue,5,"rgb(0, 255, 161)",4,,,,
English (English),en,green yellow,greenyellow,87,"rgb(169, 255, 0)",138,"rgb(173,228,60)",0.8518523671948246,-0.11733895037966707,0.1585918812035288
English (English),en,greige,greige,0,,16,"rgb(165,158,142)",0.7019752984443759,0.0009679683893781058,0.024837659547275008
English (English),en,gross green,grossgreen,0,,12,"rgb(160,176,44)",0.7201871752889407,-0.06643241558246214,0.13468675734196658
English (English),en,hazel,hazel,0,,14,"rgb(161,144,93)",0.6571916494531024,-0.0031113524152341443,0.07271927100171013
English (English),en,heather,heather,0,,13,"rgb(173,158,189)",0.7227253836896621,0.02778460743520102,-0.03771920150767003
English (English),en,highlighter,highlighter,5,"rgb(239, 255, 0)",5,,,,
English (English),en,highlighter green,highlightergreen,11,"rgb(77, 255, 0)",24,"rgb(107,246,83)",0.8641272253112008,-0.18269235363485412,0.14802522483405198
English (English),en,highlighter yellow,highlighteryellow,19,"rgb(223, 255, 0)",15,"rgb(220,249,42)",0.9295493742446665,-0.09867377881066429,0.18344392994353154
English (English),en,honey,honey,6,"rgb(255, 184, 0)",12,"rgb(227,168,45)",0.7683189348509133,0.02350832950125255,0.1441636194109191
English (English),en,hot green,hotgreen,7,"rgb(32, 255, 0)",3,,,,
English (English),en,hot pink,hotpink,724,"rgb(255, 0, 155)",1173,"rgb(242,45,159)",0.646648082068767,0.24185535027806396,-0.03684152389042588
English (English),en,hot purple,hotpurple,5,"rgb(255, 0, 251)",20,"rgb(195,50,217)",0.607490232418874,0.1995673030005906,-0.15525274318875898
English (English),en,hot red,hotred,5,"rgb(255, 0, 77)",6,,,,
English (English),en,hunter green,huntergreen,0,,194,"rgb(53,102,57)",0.4618925819682615,-0.07385608110145755,0.0502982311910859
English (English),en,ice blue,iceblue,7,"rgb(0, 219, 255)",25,"rgb(149,227,240)",0.8689935098753329,-0.06789133885533853,-0.039210503495946694
English (English),en,idk,idk,5,"rgb(0, 255, 179)",24,"rgb(155,168,131)",0.7105777451386349,-0.029735723509059588,0.04411025564882593
English (English),en,indigo,indigo,175,"rgb(81, 0, 255)",855,"rgb(83,60,185)",0.4600336236252339,0.048060025755476965,-0.18041091092238815
English (English),en,indigo blue,indigoblue,4,,12,"rgb(48,66,184)",0.4440633435613972,0.00009143216567294304,-0.18568313046165358
English (English),en,iris,iris,1,,15,"rgb(135,93,195)",0.5685091806006315,0.07992676379890769,-0.1334261883019221
English (English),en,irish green,irishgreen,0,,12,"rgb(52,178,76)",0.6735334608059431,-0.14912718914384568,0.09939663485977329
English (English),en,ivory,ivory,2,,32,"rgb(220,221,186)",0.8881934242822269,-0.015718214536580583,0.04426508801778536
English (English),en,jade,jade,2,,80,"rgb(75,171,122)",0.6702365729852142,-0.10928599050476086,0.04353120671188345
English (English),en,jade green,jadegreen,4,,43,"rgb(95,183,118)",0.7071540168777027,-0.1113311165558374,0.0627806509013455
English (English),en,jean blue,jeanblue,0,,14,"rgb(76,121,178)",0.5688950968254396,-0.026569649817700637,-0.09798986427100417
English (English),en,jungle green,junglegreen,0,,19,"rgb(72,137,63)",0.5698408943614113,-0.09918682806644305,0.07984345900059302
English (English),en,kelly green,kellygreen,24,"rgb(0, 255, 79)",230,"rgb(59,178,73)",0.6743250931798171,-0.14666711693990203,0.10209704591261323
English (English),en,key lime,keylime,3,,13,"rgb(126,234,115)",0.8461379677744334,-0.14674996393668394,0.11526382130431045
English (English),en,khaki,khaki,1,,250,"rgb(160,155,91)",0.6795472336493933,-0.02207380504271626,0.08338945673898843
English (English),en,khaki green,khakigreen,0,,23,"rgb(133,148,80)",0.6393012892387623,-0.047040260385318736,0.08219983915172531
English (English),en,kiwi,kiwi,6,"rgb(150, 255, 0)",10,,,,
English (English),en,lake blue,lakeblue,6,"rgb(0, 132, 255)",6,,,,
English (English),en,lapis,lapis,7,"rgb(0, 107, 255)",6,,,,
English (English),en,lavender,lavender,42,"rgb(209, 0, 255)",1602,"rgb(178,139,214)",0.7018168252568888,0.06899812334370069,-0.09120736424832532
English (English),en,lavender purple,lavenderpurple,4,,15,"rgb(182,118,216)",0.6701209227398328,0.10413662332540215,-0.11247971979676595
English (English),en,leaf green,leafgreen,22,"rgb(68, 255, 0)",140,"rgb(102,189,70)",0.7177553635424119,-0.13218641240808202,0.11762277947990869
English (English),en,leafy green,leafygreen,1,,17,"rgb(101,171,50)",0.6710527022053149,-0.11915834035607219,0.11975563294160788
English (English),en,lemon,lemon,23,"rgb(246, 255, 0)",43,"rgb(229,240,76)",0.9181247190137914,-0.06992598003731675,0.164805122357798
English (English),en,lemon green,lemongreen,5,"rgb(190, 255, 0)",8,,,,
English (English),en,lemon lime,lemonlime,10,"rgb(195, 255, 0)",12,"rgb(204,247,70)",0.9140711983657934,-0.10633975708547488,0.16778776669444342
English (English),en,lemon yellow,lemonyellow,43,"rgb(253, 255, 0)",43,"rgb(238,244,65)",0.9332368436604648,-0.06824502721647861,0.17467488024818448
English (English),en,light aqua,lightaqua,6,"rgb(0, 248, 255)",20,"rgb(114,235,214)",0.8638732962516348,-0.11359968038310748,-0.0019156358388358523
English (English),en,light blue,lightblue,1409,"rgb(0, 199, 255)",1699,"rgb(78,194,240)",0.7662274162330549,-0.08133207348082166,-0.09112678819116908
English (English),en,light blue green,lightbluegreen,11,"rgb(0, 255, 212)",19,"rgb(100,232,192)",0.8460580904272224,-0.1285128083479233,0.022159865710633816
English (English),en,light brown,lightbrown,1,,566,"rgb(174,127,81)",0.6317547292514047,0.036591782728087115,0.07707756007264328
English (English),en,light cyan,lightcyan,9,"rgb(0, 230, 255)",19,"rgb(119,230,232)",0.8604429697461018,-0.09776389500293929,-0.029104251140896934
English (English),en,lighter blue,lighterblue,22,"rgb(0, 169, 255)",5,,,,
English (English),en,light grey,lightgray,0,,145,"rgb(196,201,194)",0.8299471688547337,-0.007770236242131942,0.007485500317781599
English (English),en,light green,lightgreen,526,"rgb(0, 255, 66)",1856,"rgb(132,230,115)",0.837759328692401,-0.1378453397649045,0.1119921807230903
English (English),en,light lavender,lightlavender,0,,18,"rgb(210,184,233)",0.8212258378964239,0.0448015329780441,-0.056470833757402174
English (English),en,light lime,lightlime,5,"rgb(52, 255, 0)",15,"rgb(184,246,145)",0.9079339571160846,-0.10118898176282631,0.10390411184882939
English (English),en,light lime green,lightlimegreen,7,"rgb(102, 255, 0)",21,"rgb(166,244,115)",0.889834152226442,-0.1261079799882613,0.1287377125679216
English (English),en,light magenta,lightmagenta,5,"rgb(255, 0, 223)",36,"rgb(221,96,199)",0.6772645217382873,0.1772576405826611,-0.08317187397074051
English (English),en,light maroon,lightmaroon,1,,14,"rgb(171,66,91)",0.5281211972993124,0.1363865135323591,0.02049005854350602
English (English),en,light navy,lightnavy,0,,13,"rgb(67,110,163)",0.5314284016344081,-0.02675096813979808,-0.09229057793625041
English (English),en,light neon green,lightneongreen,6,"rgb(0, 255, 92)",14,"rgb(121,251,131)",0.8879565852718612,-0.1628049462051197,0.11324528860435405
English (English),en,light olive,lightolive,0,,23,"rgb(159,185,102)",0.7462469202811783,-0.06214604353192183,0.09388557663708176
English (English),en,light olive green,lightolivegreen,0,,20,"rgb(166,185,100)",0.7514500139325122,-0.05573622554404349,0.09823253133080512
English (English),en,light orange,lightorange,167,"rgb(255, 171, 0)",129,"rgb(248,168,53)",0.7909286795454188,0.0499008614125813,0.14489289823250143
English (English),en,light pink,lightpink,17,"rgb(255, 0, 219)",488,"rgb(238,167,205)",0.8068644474643617,0.0938841193703023,-0.022535656428727457
