lang,lang_abv,commonName,simplifiedName,numFullNames,numLineNames
English (English),en,midnight purple,midnightpurple,31,1
English (English),en,olive drab,olivedrab,31,0
English (English),en,golden brown,goldenbrown,31,0
English (English),en,eggplant purple,eggplantpurple,31,0
English (English),en,military green,militarygreen,31,0
English (English),en,amber,amber,30,19
English (English),en,faded green,fadedgreen,30,3
English (English),en,brown red,brownred,30,1
English (English),en,sap green,sapgreen,30,0
English (English),en,plum purple,plumpurple,30,0
English (English),en,periwinkle blue,periwinkleblue,29,9
English (English),en,purple red,purplered,29,1
English (English),en,navy green,navygreen,29,0
English (English),en,tree green,treegreen,29,0
English (English),en,cool grey,coolgray,29,0
English (English),en,dark beige,darkbeige,29,0
English (English),en,caramel,caramel,29,0
English (English),en,blood orange,bloodorange,28,29
English (English),en,pale orange,paleorange,28,4
English (English),en,amethyst,amethyst,28,2
English (English),en,warm grey,warmgray,28,0
English (English),en,marine blue,marineblue,27,14
English (English),en,dark lilac,darklilac,27,2
English (English),en,dark olive green,darkolivegreen,27,0
English (English),en,sepia,sepia,27,0
English (English),en,cerise,cerise,26,20
English (English),en,bright teal,brightteal,26,8
English (English),en,blueish purple,blueishpurple,26,5
English (English),en,puke,puke,26,3
English (English),en,vomit,vomit,26,2
English (English),en,bubblegum,bubblegum,26,1
English (English),en,dark navy blue,darknavyblue,26,0
English (English),en,muted purple,mutedpurple,26,0
English (English),en,dark peach,darkpeach,26,0
English (English),en,orange yellow,orangeyellow,25,56
English (English),en,true blue,trueblue,25,16
English (English),en,royal,royal,25,9
English (English),en,blueish green,blueishgreen,25,7
English (English),en,muted blue,mutedblue,25,4
English (English),en,ice blue,iceblue,25,4
English (English),en,dark mauve,darkmauve,25,2
English (English),en,bluish purple,bluishpurple,25,2
English (English),en,auburn,auburn,25,2
English (English),en,dark fuschia,darkfuchsia,25,1
English (English),en,fern,fern,25,1
English (English),en,dark olive,darkolive,25,0
English (English),en,dusty green,dustygreen,25,0
English (English),en,dark forest green,darkforestgreen,25,0
English (English),en,chestnut,chestnut,25,0
English (English),en,scarlett,scarlett,24,11
English (English),en,purplish blue,purplishblue,24,3
English (English),en,burgendy,burgendy,24,0
English (English),en,bottle green,bottlegreen,24,0
English (English),en,lilac purple,lilacpurple,24,0
English (English),en,highlighter green,highlightergreen,23,11
English (English),en,ruby,ruby,23,9
English (English),en,medium purple,mediumpurple,23,7
English (English),en,rouge,rouge,23,2
English (English),en,camel,camel,23,1
English (English),en,steel,steel,23,0
English (English),en,grey pink,graypink,23,0
English (English),en,light olive,lightolive,23,0
English (English),en,brown yellow,brownyellow,23,0
English (English),en,muted pink,mutedpink,23,0
English (English),en,blueish grey,blueishgray,23,0
English (English),en,reddish orange,reddishorange,22,14
English (English),en,vomit green,vomitgreen,22,2
English (English),en,perriwinkle,perriwinkle,22,1
English (English),en,very dark green,verydarkgreen,22,0
English (English),en,light tan,lighttan,22,0
English (English),en,golden,golden,21,13
English (English),en,cherry,cherry,21,13
English (English),en,barbie pink,barbiepink,21,11
English (English),en,tiffany blue,tiffanyblue,21,10
English (English),en,bluish green,bluishgreen,21,9
English (English),en,avocado green,avocadogreen,21,0
English (English),en,burnt red,burntred,21,0
English (English),en,khaki green,khakigreen,21,0
English (English),en,seaweed,seaweed,21,0
English (English),en,pumpkin orange,pumpkinorange,20,20
English (English),en,mid blue,midblue,20,15
English (English),en,fire engine red,fireenginered,20,14
English (English),en,rose red,rosered,20,12
English (English),en,purplish pink,purplishpink,20,7
English (English),en,light aqua,lightaqua,20,6
English (English),en,hot purple,hotpurple,20,5
English (English),en,dark salmon,darksalmon,20,2
English (English),en,cadet blue,cadetblue,20,2
English (English),en,bright magenta,brightmagenta,20,2
English (English),en,dark rose,darkrose,20,2
English (English),en,soft pink,softpink,20,1
English (English),en,dark yellow green,darkyellowgreen,20,1
English (English),en,muave,muave,20,0
English (English),en,faded purple,fadedpurple,20,0
English (English),en,bluish grey,bluishgray,20,0
English (English),en,mustard green,mustardgreen,20,0
English (English),en,light olive green,lightolivegreen,20,0
English (English),en,avocado,avocado,20,0
English (English),en,mud brown,mudbrown,20,0
English (English),en,ocean,ocean,19,11
English (English),en,light blue green,lightbluegreen,19,11
English (English),en,ultramarine blue,ultramarineblue,19,11
English (English),en,turquoise green,turquoisegreen,19,8
English (English),en,light cyan,lightcyan,19,8
English (English),en,crimson red,crimsonred,19,3
English (English),en,violet blue,violetblue,19,3
English (English),en,pale red,palered,19,3
English (English),en,dull yellow,dullyellow,19,2
English (English),en,dark indigo,darkindigo,19,1
English (English),en,coral pink,coralpink,19,1
English (English),en,carnation pink,carnationpink,19,0
English (English),en,jungle green,junglegreen,19,0
English (English),en,oxblood,oxblood,19,0
English (English),en,powder pink,powderpink,19,0
English (English),en,purple brown,purplebrown,19,0
English (English),en,greyish brown,grayishbrown,19,0
English (English),en,warm brown,warmbrown,19,0
English (English),en,lime yellow,limeyellow,18,8
English (English),en,light lime green,lightlimegreen,18,7
English (English),en,robins egg,robinsegg,18,7
English (English),en,cool green,coolgreen,18,4
English (English),en,shamrock,shamrock,18,2
