reason_excluded,participantId,langAbv,lang,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,locale,studyVersion,originalLangAbv
ignoring characters left nothing,4377,ru,Russian (Русский),eating,Eating,rgb,0,10,255,3,9,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),snack,Snack,rgb,255,0,28,3,10,line,white,en,pilot,
ignoring characters left nothing,4377,ru,Russian (Русский),i'm getting hungry.,I'm getting hungry.,rgb,0,219,255,3,11,line,white,en,pilot,
excluded name,4422,nl,"Dutch (Nederlands, Vlaams)",fuchsia,Fuchsia,rgb,255,0,229,1,2,line,white,en,1,
excluded name,4422,nl,"Dutch (Nederlands, Vlaams)",fuchsia,Fuchsia,rgb,255,0,208,3,4,line,white,en,1,
excluded name,4422,nl,"Dutch (Nederlands, Vlaams)",fuchsia,Fuchsia,rgb,255,0,163,6,4,line,white,en,1,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",a,a,rgb,0,255,126,1,0,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",b,b,rgb,0,255,108,1,1,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",c,c,rgb,255,0,209,1,2,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",d,d,rgb,0,42,255,1,3,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",e,e,rgb,0,187,255,1,4,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",f,f,rgb,0,255,200,1,5,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",g,g,rgb,255,0,147,1,6,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",h,h,rgb,255,0,24,1,7,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",i,i,rgb,0,80,255,1,8,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",j,j,rgb,0,255,168,1,9,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",k,k,rgb,0,170,255,1,10,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",l,l,rgb,255,68,0,1,11,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",a,a,rgb,255,143,0,3,0,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",b,b,rgb,255,209,0,3,1,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",c,c,rgb,0,99,255,3,2,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",d,d,rgb,0,126,255,3,3,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",e,e,rgb,0,212,255,3,4,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",f,f,rgb,255,0,214,3,5,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",g,g,rgb,0,151,255,3,6,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",h,h,rgb,0,235,255,3,7,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",i,i,rgb,71,255,0,3,8,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",j,j,rgb,255,0,246,3,9,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",k,k,rgb,159,0,255,3,10,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",l,l,rgb,172,255,0,3,11,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",a,a,rgb,255,242,0,6,0,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",b,b,rgb,204,0,255,6,1,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",c,c,rgb,226,255,0,6,2,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",s,s,rgb,0,255,3,6,3,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",x,x,rgb,241,255,0,6,4,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",x,x,rgb,255,83,0,6,5,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",x,x,rgb,80,0,255,6,6,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",x,x,rgb,255,0,128,6,7,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",x,x,rgb,0,255,241,6,8,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",x,x,rgb,255,168,0,6,9,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",x,x,rgb,255,0,81,6,10,line,white,en,1.1.2,
participant id,4598,ab,"Abkhaz (аҧсуа бызшәа, аҧсшәа)",x,x,rgb,255,0,73,6,11,line,white,en,1.1.2,
excluded name,4649,de,German (Deutsch),red,red,rgb,255,0,67,1,2,line,white,en,1.1.2,
excluded name,4649,de,German (Deutsch),green,green,rgb,90,255,0,1,6,line,white,en,1.1.2,
excluded name,4649,de,German (Deutsch),yellow,yellow,rgb,255,238,0,1,7,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),aquamarine,aquamarine,rgb,0,255,185,1,1,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),purple,purple,rgb,111,0,255,1,2,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),blue,blue,rgb,0,128,255,1,3,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),raspberry,raspberry,rgb,255,0,83,1,4,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),light blue,light blue,rgb,0,206,255,1,5,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),yellow,yellow,rgb,255,236,0,1,6,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),light orange,light orange,rgb,255,172,0,1,7,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),red,red,rgb,255,0,40,1,8,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),deep yellow,deep yellow,rgb,255,196,0,1,9,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),orange,orange,rgb,255,107,0,1,10,line,white,en,1.1.2,
ignoring characters left nothing,4764,ru,Russian (Русский),aqua,aqua,rgb,0,198,255,1,11,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),pink,Pink,rgb,255,0,234,1,0,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),dark pink,Dark pink,rgb,255,0,124,1,1,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),purple,Purple,rgb,132,0,255,1,2,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),dark yellow,Dark yellow,rgb,255,216,0,1,3,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),yellow,Yellow,rgb,255,243,0,1,4,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),bright green,Bright green,rgb,125,255,0,1,5,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),sea blue,Sea blue,rgb,0,135,255,1,6,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),bright pink,Bright pink,rgb,255,0,209,1,7,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),green,Green,rgb,0,255,93,1,9,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),red,Red,rgb,255,0,63,1,10,line,white,en,1.1.2,
excluded name,4775,pt,Portuguese (português),blue,Blue,rgb,0,33,255,1,11,line,white,en,1.1.2,
forbidden characters,4804,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",da hong s q色,da hong s q,rgb,255,0,43,3,8,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",red色,Red,rgb,255,0,25,1,0,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",light green色,light Green,rgb,0,255,127,1,1,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",blue色,Blue,rgb,0,63,255,1,2,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",purple色,Purple,rgb,0,23,255,1,3,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",yellow green色,Yellow-Green,rgb,134,255,0,1,5,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",blue色,Blue,rgb,0,156,255,1,6,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",orange色,Orange,rgb,255,122,0,1,7,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",pink色,Pink,rgb,255,0,108,1,8,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",light green色,Light Green,rgb,0,255,105,1,9,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",green色,Green,rgb,84,255,0,1,10,line,white,en,1.1.2,
excluded name,4820,pt,Portuguese (português),orange,Orange,rgb,255,64,0,1,4,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",pink色,pink,rgb,255,0,211,3,0,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",green色,green,rgb,0,255,180,3,1,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",yellow orange色,yellow-orange,rgb,255,202,0,3,2,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",blue色,blue,rgb,0,108,255,3,3,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",blue色,blue,rgb,0,128,255,3,4,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",yellow色,yellow,rgb,255,233,0,3,5,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",red orange色,red-orange,rgb,255,86,0,3,6,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",light blue色,light blue,rgb,0,237,255,3,7,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",red pink色,red-pink,rgb,255,0,72,3,8,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",sky blue色,sky blue,rgb,0,186,255,3,9,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",purple色,purple,rgb,150,0,255,3,10,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",orange色,orange,rgb,255,178,0,3,11,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",pink色,pink,rgb,255,0,163,6,0,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",yellow色,yellow,rgb,255,245,0,6,1,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",pink purple色,pink-purple,rgb,255,0,192,6,2,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",blue色,blue,rgb,0,175,255,6,3,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",sky blue色,sky blue,rgb,0,216,255,6,4,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",green色,green,rgb,0,255,59,6,5,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",red orange色,red-orange,rgb,255,45,0,6,6,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",dark blue色,dark blue,rgb,0,87,255,6,7,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",green yellow色,green-yellow,rgb,228,255,0,6,8,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",pink色,pink,rgb,255,0,130,6,9,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",lighter purple色,lighter purple,rgb,243,0,255,6,10,line,white,en,1.1.2,
forbidden characters,4816,zh,"Chinese (中文 (Zhōngwén), 汉语, 漢語)",purple色,purple,rgb,216,0,255,6,11,line,white,en,1.1.2,
excluded name,4820,pt,Portuguese (português),pink,pink,rgb,255,0,203,3,5,line,white,en,1.1.2,
excluded name,4878,ro,Romanian (limba română),blue,BLUE,rgb,0,218,255,6,0,line,white,en,1.1.2,
excluded name,4894,de,German (Deutsch),cyan,Cyan,rgb,0,255,211,1,4,line,white,en,1.1.2,
excluded name,4989,fr,"French (français, langue française)",vert flash,Vert flash,rgb,0,255,49,3,7,line,white,en,1.1.2,
excluded name,5005,pt,Portuguese (português),pink,pink,rgb,255,0,121,1,7,line,white,en,1.1.2,
excluded name,5005,pt,Portuguese (português),pink,pink,rgb,255,0,185,6,0,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),ahmar,ahmar,rgb,255,0,38,1,0,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),azrak,azrak,rgb,0,181,255,1,1,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),azrak,azrak,rgb,0,255,242,1,2,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),azrak,azrak,rgb,0,205,255,1,3,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),asfar,asfar,rgb,255,198,0,1,4,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),werdy,werdy,rgb,255,0,189,1,5,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),benefsegy,benefsegy,rgb,143,0,255,1,6,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),akhthar,akhthar,rgb,99,255,0,1,7,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),azrak,azrak,rgb,0,6,255,1,8,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),azrak,azrak,rgb,0,38,255,1,9,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),burtiqaly,burtiqaly,rgb,255,79,0,1,10,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),werdy,werdy,rgb,255,0,64,1,11,line,white,en,1.1.2,
ignoring characters left nothing,5313,ar,Arabic (العربية),azrak,azrak,rgb,0,142,255,3,0,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),green,green,rgb,0,255,67,1,0,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),red,red,rgb,255,0,40,1,1,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),orange,orange,rgb,255,180,0,1,2,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),blue,blue,rgb,0,140,255,1,3,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),purple,purple,rgb,168,0,255,1,4,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),blue,blue,rgb,0,65,255,1,5,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),blue,blue,rgb,0,85,255,1,6,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),yellow,yellow,rgb,255,218,0,1,7,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),sky blue,sky blue,rgb,0,225,255,1,8,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),light green,light green,rgb,156,255,0,1,9,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),blue,blue,rgb,0,93,255,1,10,line,white,en,1.1.2,
ignoring characters left nothing,0,ar,Arabic (العربية),pink,pink,rgb,255,0,120,1,11,line,white,en,1.1.2,
participant id,5348,en,English (English),blue,blue,rgb,118,0,255,1,0,line,white,en,1.1.2,
participant id,5348,en,English (English),green,green,rgb,210,255,0,1,1,line,white,en,1.1.2,
participant id,5348,en,English (English),red,red,rgb,0,159,255,1,2,line,white,en,1.1.2,
participant id,5348,en,English (English),pink,pink,rgb,0,125,255,1,3,line,white,en,1.1.2,
participant id,5348,en,English (English),purple,purple,rgb,0,255,46,1,4,line,white,en,1.1.2,
participant id,5348,en,English (English),orange,orange,rgb,0,90,255,1,5,line,white,en,1.1.2,
participant id,5348,en,English (English),black,black,rgb,71,255,0,1,6,line,white,en,1.1.2,
participant id,5348,en,English (English),white,white,rgb,0,255,232,1,7,line,white,en,1.1.2,
participant id,5348,en,English (English),brown,brown,rgb,255,228,0,1,10,line,white,en,1.1.2,
participant id,5348,en,English (English),yellow,yellow,rgb,0,57,255,1,11,line,white,en,1.1.2,
excluded name,5393,da,Danish (dansk),blue,blue,rgb,0,141,255,3,10,line,white,en,1.1.2,
excluded name,5481,nl,"Dutch (Nederlands, Vlaams)",blue,blue,rgb,0,157,255,1,9,line,white,en,1.1.2,
excluded name,5494,fr,"French (français, langue française)",blue,blue,rgb,89,0,255,1,4,line,white,en,1.1.2,
excluded name,5673,en,English (English),8,8,rgb,255,131,0,3,11,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),cyan,cyan,rgb,0,255,237,1,0,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),light blue,light blue,rgb,0,204,255,1,1,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),blue,blue,rgb,0,110,255,1,2,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),cyan,cyan,rgb,0,217,255,1,3,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),musard,musard,rgb,255,121,0,1,4,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),ping,ping,rgb,255,0,171,1,5,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),blue,blue,rgb,0,129,255,1,6,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),purple,purple,rgb,117,0,255,1,7,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),orange,orange,rgb,255,83,0,1,8,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),royal blue,royal blue,rgb,48,0,255,1,9,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),ping,ping,rgb,255,0,182,1,10,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),green,green,rgb,87,255,0,1,11,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),yellow,yellow,rgb,255,205,0,3,0,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),light green,light green,rgb,0,255,56,3,1,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),pink,pink,rgb,255,0,107,3,2,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),orange,orange,rgb,255,43,0,3,3,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),ping,ping,rgb,255,0,56,3,4,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),cyan,cyan,rgb,0,255,211,3,5,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),bright yellow,bright yellow,rgb,255,255,0,3,6,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),bright green,bright green,rgb,149,255,0,3,7,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),cyan,cyan,rgb,0,243,255,3,8,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),red,red,rgb,255,0,23,3,9,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),blue,blue,rgb,0,140,255,3,10,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),cyan,cyan,rgb,0,255,162,3,11,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),yellow,yellow,rgb,255,237,0,6,0,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),dark yellow,dark yellow,rgb,255,157,0,6,1,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),blue,blue,rgb,0,162,255,6,2,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),hazel,hazel,rgb,0,255,144,6,3,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),ping,ping,rgb,220,0,255,6,4,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),navy,navy,rgb,0,45,255,6,5,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),ping,ping,rgb,255,0,113,6,6,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),purple,purple,rgb,163,0,255,6,7,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),light ping,light ping,rgb,255,0,234,6,8,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),blue,blue,rgb,0,86,255,6,9,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),yellow green,yellow -green,rgb,188,255,0,6,10,line,white,en,1.1.2,
ignoring characters left nothing,5690,ar,Arabic (العربية),green,green,rgb,0,255,110,6,11,line,white,en,1.1.2,
excluded name,5774,fr,"French (français, langue française)",marin,Marin,rgb,0,255,182,3,3,line,white,en,1.1.2,
excluded name,5774,fr,"French (français, langue française)",marin,Marin,rgb,0,140,255,6,3,line,white,en,1.1.2,
participant id,5860,en,English (English),orange,Orange,rgb,255,140,0,1,0,line,white,en,1.1.2,es
participant id,5860,en,English (English),magenta,Magenta,rgb,255,0,94,1,1,line,white,en,1.1.2,es
participant id,5860,en,English (English),orange,Orange,rgb,255,155,0,1,2,line,white,en,1.1.2,es
participant id,5860,en,English (English),lime green,Lime - Green,rgb,79,255,0,1,3,line,white,en,1.1.2,es
participant id,5860,en,English (English),lime green,Lime - Green,rgb,35,255,0,1,4,line,white,en,1.1.2,es
participant id,5860,en,English (English),purple,Purple,rgb,153,0,255,1,5,line,white,en,1.1.2,es
participant id,5860,en,English (English),baby blues,Baby - Blues,rgb,0,251,255,1,6,line,white,en,1.1.2,es
participant id,5860,en,English (English),pink,Pink,rgb,255,0,161,1,7,line,white,en,1.1.2,es
participant id,5860,en,English (English),red,Red,rgb,255,5,0,1,8,line,white,en,1.1.2,es
participant id,5860,en,English (English),sky blue,Sky - Blue,rgb,0,207,255,1,9,line,white,en,1.1.2,es
participant id,5860,en,English (English),turquoise,Turquoise,rgb,0,255,190,1,10,line,white,en,1.1.2,es
participant id,5860,en,English (English),blue,Blue,rgb,0,115,255,1,11,line,white,en,1.1.2,es
participant id,5860,en,English (English),blue,Blue,rgb,34,0,255,3,0,line,white,en,1.1.2,es
participant id,5860,en,English (English),pink,Pink,rgb,255,0,211,3,1,line,white,en,1.1.2,es
participant id,5860,en,English (English),blue,Blue,rgb,0,107,255,3,2,line,white,en,1.1.2,es
participant id,5860,en,English (English),magenta,Magenta,rgb,255,0,112,3,3,line,white,en,1.1.2,es
participant id,5860,en,English (English),red,Red,rgb,255,0,29,3,4,line,white,en,1.1.2,es
participant id,5860,en,English (English),blue,Blue,rgb,0,51,255,3,5,line,white,en,1.1.2,es
participant id,5860,en,English (English),yellow,Yellow,rgb,249,255,0,3,6,line,white,en,1.1.2,es
participant id,5860,en,English (English),sky blue,Sky - Blue,rgb,0,255,245,3,7,line,white,en,1.1.2,es
participant id,5860,en,English (English),yellow orange,Yellow - Orange,rgb,255,189,0,3,8,line,white,en,1.1.2,es
