lang,name,avgColorRGBCode,binPctCnt,totalColorFraction,langAbv,commonName,avgL,avgA,avgB,numFullNames,numLineNames
English (English),mediumpurple,"rgb(156, 77, 201)",0.21909440143470293,0.00017265122256477757,en,medium purple,47.333333333333336,48.66666666666668,-51.66666666666667,23,7
English (English),ocean,"rgb(53, 123, 194)",0.1656602355948748,0.00013054392087854584,en,ocean,49.66666666666666,-3.666666666666667,-44.33333333333333,19,11
English (English),lightbluegreen,"rgb(101, 232, 192)",0.15531786032322803,0.00012239390096393057,en,light blue green,83.99999999999999,-45.00000000000001,7.999999999999999,19,11
English (English),bluishgreen,"rgb(54, 203, 141)",0.1263329915686015,0.00009955318484523356,en,bluish green,73.00000000000001,-51.00000000000001,19.333333333333336,21,9
English (English),amethyst,"rgb(156, 75, 195)",0.25106565034062656,0.00019784527213603337,en,amethyst,46.66666666666665,49,-49.333333333333336,28,2
English (English),ultramarineblue,"rgb(49, 46, 209)",0.14125420081721893,0.00011131142696392341,en,ultramarine blue,30.66666666666668,45.00000000000001,-84,19,11
English (English),purplered,"rgb(159, 46, 101)",0.2349229579747379,0.00018512447436937562,en,purple red,38.66666666666667,50.33333333333335,-4.999999999999999,29,1
English (English),sapgreen,"rgb(117, 155, 56)",0.22527136805714537,0.00017751880855566994,en,sap green,59.66666666666669,-25.333333333333343,45.666666666666664,30,0
English (English),plumpurple,"rgb(91, 38, 96)",0.4325680939774048,0.0003408732025038648,en,plum purple,25.000000000000004,31.666666666666675,-23.666666666666668,30,0
English (English),mutedblue,"rgb(79, 124, 184)",0.20027815980960934,0.00015782360899102376,en,muted blue,50.6896551724138,-1.7241379310344822,-37.24137931034483,25,4
English (English),puke,"rgb(169, 168, 63)",0.22589968253707346,0.00017801393422937214,en,puke,67.58620689655173,-9.655172413793103,52.413793103448285,26,3
English (English),darklilac,"rgb(155, 112, 191)",0.27019082965471336,0.00021291633542530584,en,dark lilac,54.137931034482776,28.96551724137931,-35.17241379310345,27,2
English (English),iceblue,"rgb(163, 228, 241)",0.8161814790802905,0.0006431690142476672,en,ice blue,86.55172413793102,-18.96551724137931,-13.103448275862068,25,4
