lang,lang_abv,simplifiedName,commonName,avgHueColor,cnt
"Czech (čeština, český jazyk)",cs,ruzova,růžová,"rgb(255, 0, 183)",35
"Czech (čeština, český jazyk)",cs,tyrkysova,tyrkysová,"rgb(0, 255, 243)",31
"Czech (čeština, český jazyk)",cs,svetlemodra,světle modrá,"rgb(0, 196, 255)",17
"Czech (čeština, český jazyk)",cs,svetlezelena,světle zelená,"rgb(0, 255, 73)",15
"Czech (čeština, český jazyk)",cs,tmavemodra,tmavě modrá,"rgb(0, 81, 255)",14
Danish (dansk),da,bla,blå,"rgb(0, 119, 255)",105
Danish (dansk),da,orange,orange,"rgb(255, 140, 0)",79
Danish (dansk),da,grøn,grøn,"rgb(0, 255, 67)",76
Danish (dansk),da,rød,rød,"rgb(255, 0, 46)",73
Danish (dansk),da,gul,gul,"rgb(255, 237, 0)",65
Danish (dansk),da,lilla,lilla,"rgb(195, 0, 255)",63
Danish (dansk),da,turkis,turkis,"rgb(0, 255, 244)",61
Danish (dansk),da,pink,pink,"rgb(255, 0, 182)",61
Danish (dansk),da,lysebla,lyseblå,"rgb(0, 198, 255)",50
Danish (dansk),da,mørkebla,mørkeblå,"rgb(0, 55, 255)",34
Danish (dansk),da,lysegrøn,lysegrøn,"rgb(0, 255, 30)",22
Danish (dansk),da,lyserød,lyserød,"rgb(255, 0, 181)",17
Danish (dansk),da,neongrøn,neongrøn,"rgb(147, 255, 0)",10
Danish (dansk),da,limegrøn,limegrøn,"rgb(115, 255, 0)",8
Danish (dansk),da,turkisgrøn,turkisgrøn,"rgb(0, 255, 153)",8
"Dutch (Nederlands, Vlaams)",nl,blauw,blauw,"rgb(0, 134, 255)",111
"Dutch (Nederlands, Vlaams)",nl,groen,groen,"rgb(0, 255, 72)",75
"Dutch (Nederlands, Vlaams)",nl,paars,paars,"rgb(208, 0, 255)",59
"Dutch (Nederlands, Vlaams)",nl,oranje,oranje,"rgb(255, 145, 0)",58
"Dutch (Nederlands, Vlaams)",nl,rood,rood,"rgb(255, 0, 41)",52
"Dutch (Nederlands, Vlaams)",nl,roze,roze,"rgb(255, 0, 171)",38
"Dutch (Nederlands, Vlaams)",nl,geel,geel,"rgb(255, 242, 0)",33
"Dutch (Nederlands, Vlaams)",nl,lichtblauw,lichtblauw,"rgb(0, 217, 255)",30
"Dutch (Nederlands, Vlaams)",nl,donkerblauw,donkerblauw,"rgb(0, 24, 255)",25
"Dutch (Nederlands, Vlaams)",nl,turquoise,turquoise,"rgb(0, 249, 255)",17
"Dutch (Nederlands, Vlaams)",nl,lichtgroen,lichtgroen,"rgb(0, 255, 56)",16
