bin_i,bin_start_r,bin_start_g,bin_start_b,bin_end_before_r,bin_end_before_g,bin_end_before_b
76,0.00784313725490196,0,1,0.03529411764705882,0,1
77,0.03529411764705882,0,1,0.06666666666666667,0,1
78,0.06666666666666667,0,1,0.09803921568627451,0,1
79,0.09803921568627451,0,1,0.12941176470588237,0,1
80,0.12941176470588237,0,1,0.1607843137254902,0,1
81,0.1607843137254902,0,1,0.18823529411764706,0,1
82,0.18823529411764706,0,1,0.21568627450980393,0,1
83,0.21568627450980393,0,1,0.24705882352941178,0,1
84,0.24705882352941178,0,1,0.27450980392156865,0,1
85,0.27450980392156865,0,1,0.30196078431372547,0,1
86,0.30196078431372547,0,1,0.3333333333333333,0,1
87,0.3333333333333333,0,1,0.3607843137254902,0,1
88,0.3607843137254902,0,1,0.39215686274509803,0,1
89,0.39215686274509803,0,1,0.4235294117647059,0,1
90,0.4235294117647059,0,1,0.4549019607843137,0,1
91,0.4549019607843137,0,1,0.48627450980392156,0,1
92,0.48627450980392156,0,1,0.5215686274509804,0,1
93,0.5215686274509804,0,1,0.5568627450980392,0,1
94,0.5568627450980392,0,1,0.592156862745098,0,1
95,0.592156862745098,0,1,0.6274509803921569,0,1
96,0.6274509803921569,0,1,0.6627450980392157,0,1
97,0.6627450980392157,0,1,0.7019607843137254,0,1
98,0.7019607843137254,0,1,0.7372549019607844,0,1
99,0.7372549019607844,0,1,0.7764705882352941,0,1
100,0.7764705882352941,0,1,0.8156862745098039,0,1
101,0.8156862745098039,0,1,0.8549019607843137,0,1
102,0.8549019607843137,0,1,0.8980392156862745,0,1
103,0.8980392156862745,0,1,0.9372549019607843,0,1
104,0.9372549019607843,0,1,0.9803921568627451,0,1
105,0.9803921568627451,0,1,1,0,0.9686274509803922
106,1,0,0.9686274509803922,1,0,0.9019607843137255
107,1,0,0.9019607843137255,1,0,0.8392156862745098
108,1,0,0.8392156862745098,1,0,0.7803921568627451
109,1,0,0.7803921568627451,1,0,0.7176470588235294
110,1,0,0.7176470588235294,1,0,0.6549019607843137
111,1,0,0.6549019607843137,1,0,0.596078431372549
112,1,0,0.596078431372549,1,0,0.5372549019607843
113,1,0,0.5372549019607843,1,0,0.4745098039215686
114,1,0,0.4745098039215686,1,0,0.41568627450980394
115,1,0,0.41568627450980394,1,0,0.34901960784313724
116,1,0,0.34901960784313724,1,0,0.2823529411764706
117,1,0,0.2823529411764706,1,0,0.20784313725490197
118,1,0,0.20784313725490197,1,0,0.11764705882352941
119,1,0,0.11764705882352941,1,0,0.00392156862745098
