bin_i,bin_start_r,bin_start_g,bin_start_b,bin_end_r,bin_end_g,bin_end_b
40,0,1,0.3843137254901961,0,1,0.45098039215686275
41,0,1,0.45098039215686275,0,1,0.5137254901960784
42,0,1,0.5137254901960784,0,1,0.5725490196078431
43,0,1,0.5725490196078431,0,1,0.6274509803921569
44,0,1,0.6274509803921569,0,1,0.6784313725490196
45,0,1,0.6784313725490196,0,1,0.7294117647058823
46,0,1,0.7294117647058823,0,1,0.7803921568627451
47,0,1,0.7803921568627451,0,1,0.8313725490196079
48,0,1,0.8313725490196079,0,1,0.8784313725490196
49,0,1,0.8784313725490196,0,1,0.9294117647058824
50,0,1,0.9294117647058824,0,1,0.9803921568627451
51,0,1,0.9803921568627451,0,0.984313725490196,1
52,0,0.984313725490196,1,0,0.9568627450980393,1
53,0,0.9568627450980393,1,0,0.9294117647058824,1
54,0,0.9294117647058824,1,0,0.9019607843137255,1
55,0,0.9019607843137255,1,0,0.8745098039215686,1
56,0,0.8745098039215686,1,0,0.8470588235294118,1
57,0,0.8470588235294118,1,0,0.8196078431372549,1
58,0,0.8196078431372549,1,0,0.796078431372549,1
59,0,0.796078431372549,1,0,0.7686274509803922,1
60,0,0.7686274509803922,1,0,0.7411764705882353,1
61,0,0.7411764705882353,1,0,0.7137254901960784,1
62,0,0.7137254901960784,1,0,0.6862745098039216,1
63,0,0.6862745098039216,1,0,0.6549019607843137,1
64,0,0.6549019607843137,1,0,0.6274509803921569,1
65,0,0.6274509803921569,1,0,0.6,1
66,0,0.6,1,0,0.5686274509803921,1
67,0,0.5686274509803921,1,0,0.5411764705882353,1
68,0,0.5411764705882353,1,0,0.5098039215686274,1
69,0,0.5098039215686274,1,0,0.47843137254901963,1
70,0,0.47843137254901963,1,0,0.4470588235294118,1
71,0,0.4470588235294118,1,0,0.41568627450980394,1
72,0,0.41568627450980394,1,0,0.3803921568627451,1
73,0,0.3803921568627451,1,0,0.3411764705882353,1
74,0,0.3411764705882353,1,0,0.30196078431372547,1
75,0,0.30196078431372547,1,0,0.2549019607843137,1
76,0,0.2549019607843137,1,0,0.2,1
77,0,0.2,1,0,0.12549019607843137,1
78,0,0.12549019607843137,1,0.023529411764705882,0,1
79,0.023529411764705882,0,1,0.13333333333333333,0,1
80,0.13333333333333333,0,1,0.19607843137254902,0,1
81,0.19607843137254902,0,1,0.24313725490196078,0,1
82,0.24313725490196078,0,1,0.28627450980392155,0,1
83,0.28627450980392155,0,1,0.3254901960784314,0,1
84,0.3254901960784314,0,1,0.36470588235294116,0,1
85,0.36470588235294116,0,1,0.4,0,1
86,0.4,0,1,0.43529411764705883,0,1
87,0.43529411764705883,0,1,0.47058823529411764,0,1
88,0.47058823529411764,0,1,0.5058823529411764,0,1
89,0.5058823529411764,0,1,0.5411764705882353,0,1
90,0.5411764705882353,0,1,0.5764705882352941,0,1
91,0.5764705882352941,0,1,0.611764705882353,0,1
92,0.611764705882353,0,1,0.6470588235294118,0,1
93,0.6470588235294118,0,1,0.6823529411764706,0,1
94,0.6823529411764706,0,1,0.7176470588235294,0,1
95,0.7176470588235294,0,1,0.7529411764705882,0,1
96,0.7529411764705882,0,1,0.788235294117647,0,1
97,0.788235294117647,0,1,0.8235294117647058,0,1
98,0.8235294117647058,0,1,0.8588235294117647,0,1
99,0.8588235294117647,0,1,0.8980392156862745,0,1
100,0.8980392156862745,0,1,0.9333333333333333,0,1
101,0.9333333333333333,0,1,0.9686274509803922,0,1
102,0.9686274509803922,0,1,1,0,0.9921568627450981
103,1,0,0.9921568627450981,1,0,0.9411764705882353
104,1,0,0.9411764705882353,1,0,0.8941176470588236
105,1,0,0.8941176470588236,1,0,0.8431372549019608
106,1,0,0.8431372549019608,1,0,0.796078431372549
107,1,0,0.796078431372549,1,0,0.7450980392156863
108,1,0,0.7450980392156863,1,0,0.6980392156862745
109,1,0,0.6980392156862745,1,0,0.6509803921568628
110,1,0,0.6509803921568628,1,0,0.6039215686274509
111,1,0,0.6039215686274509,1,0,0.5568627450980392
112,1,0,0.5568627450980392,1,0,0.5058823529411764
113,1,0,0.5058823529411764,1,0,0.4588235294117647
114,1,0,0.4588235294117647,1,0,0.40784313725490196
115,1,0,0.40784313725490196,1,0,0.3568627450980392
116,1,0,0.3568627450980392,1,0,0.2980392156862745
117,1,0,0.2980392156862745,1,0,0.23529411764705882
118,1,0,0.23529411764705882,1,0,0.1568627450980392
119,1,0,0.1568627450980392,1,0,0.00392156862745098
